City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Port Elizabeth,ZA,-33.918,25.5701,60.31,95,20,17.27,few clouds
80,Upernavik,GL,72.7868,-56.1549,19.06,84,72,4.59,broken clouds
81,Lillesand,NO,58.2488,8.3778,54.9,94,75,14.97,light rain
82,Komsomolskiy,UZ,40.4272,71.7189,65.12,42,100,4.61,overcast clouds
83,Lorengau,PG,-2.0226,147.2712,85.96,60,39,8.32,scattered clouds
84,Kumbo,CM,6.2,10.6667,57.49,92,84,1.1,broken clouds
85,Tasiilaq,GL,65.6145,-37.6368,36.73,79,100,4.59,overcast clouds
86,Flinders,AU,-34.5833,150.8552,62.19,79,90,1.99,light rain
87,Codrington,AU,-38.2667,141.9667,61.92,66,0,6.15,clear sky
88,Raglan,NZ,-37.8,174.8833,62.1,96,100,14.0,light rain
89,Pacific Grove,US,36.6177,-121.9166,61.02,91,32,5.01,scattered clouds
90,Thap Than,TH,15.4606,99.8917,79.27,86,100,8.03,overcast clouds
91,Mahebourg,MU,-20.4081,57.7,70.09,73,75,11.5,broken clouds
92,Vaini,TO,-21.2,-175.2,78.96,73,20,9.22,few clouds
93,Qaanaaq,GL,77.484,-69.3632,13.91,68,30,7.11,scattered clouds
94,Touros,BR,-5.1989,-35.4608,75.96,83,100,14.43,overcast clouds
95,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,86,75,14.97,broken clouds
96,Fortuna,US,40.5982,-124.1573,60.91,83,1,3.15,clear sky
97,Hithadhoo,MV,-0.6,73.0833,81.28,74,94,11.61,overcast clouds
98,Ilheus,BR,-14.7889,-39.0494,70.45,93,96,8.39,overcast clouds
99,Progreso,MX,21.2833,-89.6667,76.53,61,94,8.57,overcast clouds
100,Nikolskoye,RU,59.7035,30.7861,44.49,97,58,4.72,broken clouds
101,Cotonou,BJ,6.3654,2.4183,78.78,83,40,12.66,scattered clouds
102,Santa Cruz,BO,-17.8,-63.1667,69.26,60,1,8.05,clear sky
103,Tiruvannamalai,IN,12.2167,79.0667,78.87,68,100,11.1,overcast clouds
104,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,75,11.5,broken clouds
105,Dikson,RU,73.5069,80.5464,34.66,85,100,16.69,overcast clouds
106,Chokurdakh,RU,70.6333,147.9167,27.18,69,100,4.79,overcast clouds
107,Cherskiy,RU,68.75,161.3,34.03,60,100,3.24,overcast clouds
108,Amazar,RU,53.858,120.875,44.49,55,100,6.64,overcast clouds
109,Muncar,ID,-8.4333,114.3333,82.09,79,100,5.23,overcast clouds
110,Luderitz,NA,-26.6481,15.1594,56.16,64,6,14.61,clear sky
111,Port Hedland,AU,-20.3167,118.5667,80.65,57,0,13.8,clear sky
112,Lavrentiya,RU,65.5833,-171.0,38.84,67,96,17.22,overcast clouds
113,Manta,EC,-0.95,-80.7333,71.38,78,40,8.05,scattered clouds
114,Ulaanbaatar,MN,47.9077,106.8832,42.93,65,40,11.18,scattered clouds
115,Pouembout,NC,-21.1333,164.9,77.16,54,50,7.81,scattered clouds
116,Corpus Christi,US,27.8006,-97.3964,78.98,66,0,5.01,clear sky
117,Tateyama,JP,34.9833,139.8667,76.86,66,11,16.2,few clouds
118,Kavieng,PG,-2.5744,150.7967,82.08,75,96,13.0,light rain
119,Katsuura,JP,35.1333,140.3,77.36,62,0,17.22,clear sky
120,Pevek,RU,69.7008,170.3133,33.46,79,100,3.44,overcast clouds
121,Saskylakh,RU,71.9167,114.0833,28.92,97,100,6.4,light snow
122,Whitecourt,CA,54.1502,-115.6855,54.46,77,23,2.51,few clouds
123,Hofn,IS,64.2539,-15.2082,45.79,87,100,7.49,moderate rain
124,Kudahuvadhoo,MV,2.6708,72.8944,81.25,77,100,17.45,overcast clouds
125,Niamtougou,TG,9.7681,1.1053,66.34,97,88,3.02,overcast clouds
126,Barwala,IN,29.3833,75.9167,82.49,62,0,5.03,clear sky
127,Alamosa,US,37.4695,-105.87,56.34,36,86,7.29,overcast clouds
128,Mataram,ID,-8.5833,116.1167,88.61,71,97,4.85,overcast clouds
129,Dunmore East,IE,52.1514,-6.9861,56.08,75,76,16.13,broken clouds
130,Mount Gambier,AU,-37.8333,140.7667,66.33,51,0,3.62,clear sky
131,Esperance,AU,-33.8667,121.9,62.31,60,46,10.8,scattered clouds
132,Yabelo,ET,4.8833,38.0833,59.77,63,91,6.06,overcast clouds
133,Faanui,PF,-16.4833,-151.75,78.26,67,13,5.26,few clouds
134,Mogadishu,SO,2.0371,45.3438,76.89,81,57,12.88,broken clouds
135,Alyangula,AU,-13.8483,136.4192,85.89,48,55,6.17,broken clouds
136,Asosa,ET,10.0667,34.5333,60.13,88,99,3.83,overcast clouds
137,Kharan,PK,28.5833,65.4167,77.07,15,0,1.48,clear sky
138,Matay,EG,28.419,30.7792,81.68,41,0,14.54,clear sky
139,Aktau,KZ,43.65,51.2,55.98,35,6,11.81,clear sky
140,Yinchuan,CN,38.4681,106.2731,74.68,44,35,3.98,scattered clouds
141,Margate,GB,51.3813,1.3862,57.9,95,100,1.99,overcast clouds
142,Irtyshskiy,RU,58.3333,68.1333,28.35,68,16,2.8,few clouds
143,Safford,US,32.834,-109.7076,79.72,38,75,21.85,broken clouds
144,Kananga,CD,-5.8958,22.4178,66.72,90,15,2.39,light rain
145,Egvekinot,RU,66.3167,-179.1667,29.97,69,100,7.02,overcast clouds
146,Nemuro,JP,43.3236,145.575,68.61,82,96,22.03,overcast clouds
147,Koumac,NC,-20.5667,164.2833,76.08,57,5,9.95,clear sky
148,Hamilton,US,39.1834,-84.5333,60.44,58,100,1.01,overcast clouds
149,Marsabit,KE,2.3284,37.9899,59.61,79,24,15.08,few clouds
150,Aklavik,CA,68.2191,-135.0107,32.58,99,100,5.46,overcast clouds
151,Puerto Ayora,EC,-0.7393,-90.3518,64.54,97,79,4.0,broken clouds
152,Atuona,PF,-9.8,-139.0333,77.27,65,3,17.29,clear sky
153,Batamshinskiy,KZ,50.5594,58.2747,40.19,62,100,11.88,overcast clouds
154,Florianopolis,BR,-27.6146,-48.5012,60.03,95,100,4.61,overcast clouds
155,Inta,RU,66.0317,60.1659,33.67,52,100,6.55,overcast clouds
156,Port Blair,IN,11.6667,92.75,84.24,79,75,12.66,mist
